"","Extra_rs","Agree_rs","Cons_rs","Neur_rs","Open_rs","Extra_1","Agree_1","Cons_1","Neur_1","Open_1","Extra_2","Agree_2","Cons_2","Neur_2","Open_2","age","race","gender","income","edu","state","ideology","spending","reg_business","govrole_big","strong_gov","less_gov_better","trad_1_r","trad_2","trad_3_r","trad_4","Year","male","Open","Extra","Cons","Agree","Neur","traditionalism","Operational"
"1",1,1,6,2,7,2,7,7,4,5,7,7,2,6,1,13,2,1,NA,1,"AL",1,0.333333333333333,0.5,0,0,0,1,1,1,2,2012,1,6,1.5,6.5,4,3,1.25,0.166666666666667
"2",2,7,7,2,6,6,1,7,4,5,6,7,1,6,2,12,2,2,3,3,"AL",NA,0.166666666666667,0.5,0,0,0,2,2,1,5,2012,NA,5.5,4,7,7,3,2.5,0.133333333333333
"3",4,6,2,3,4,4,2,6,4,4,4,4,6,5,4,8,2,2,2,3,"AL",NA,NA,0,0,1,0,5,5,2,5,2012,NA,4,4,4,5,3.5,4.25,0.25
"4",6,3,5,1,6,7,5,7,2,7,2,6,3,7,2,5,2,1,13,2,"AL",2,0.333333333333333,0.5,0,0,0,1,2,2,2,2012,1,6.5,6.5,6,4.5,1.5,1.75,0.166666666666667
"5",5,6,5,5,4,2,2,6,4,5,3,5,3,3,4,13,2,1,2,1,"AL",NA,NA,NA,0,NA,NA,3,3,3,3,2012,1,4.5,3.5,5.5,5.5,4.5,3,0
"6",1,3,1,1,2,5,5,7,7,7,7,7,7,7,6,8,2,2,1,1,"AL",NA,NA,0,0,0,0,4,3,1,5,2012,NA,4.5,3,4,5,4,3.25,0
"7",4,7,6,2,5,5,1,5,6,5,4,1,2,6,3,12,2,2,1,1,"AL",NA,NA,0,0,0,0,5,3,1,2,2012,NA,5,4.5,5.5,4,4,2.75,0
"8",3,3,2,2,5,6,5,6,3,6,5,5,6,6,3,2,2,2,NA,4,"AL",4,0.5,0.5,0,0,0,2,5,2,4,2012,NA,5.5,4.5,4,4,2.5,3.25,0.2
"9",3,6,5,4,3,4,2,4,4,5,5,6,3,4,5,7,1,1,9,5,"AZ",6,0.666666666666667,0.5,0,1,1,4,4,2,4,2012,1,4,3.5,4.5,6,4,3.5,0.633333333333333
"10",3,6,7,1,3,3,2,7,1,6,5,6,1,7,5,NA,1,1,27,4,"AZ",4,0.666666666666667,0.75,1,0,1,5,4,3,4,2012,1,4.5,3,7,6,1,4,0.683333333333333
"11",4,6,6,2,3,6,2,6,2,6,4,6,2,6,5,7,1,1,27,5,"AZ",5,0.666666666666667,0.75,1,0,1,4,4,2,2,2012,1,4.5,5,6,6,2,3,0.683333333333333
"12",4,6,3,4,5,6,2,4,2,3,4,6,5,4,3,10,1,2,24,3,"AZ",3,0.5,0.5,0,0,0,5,4,3,5,2012,NA,4,5,3.5,6,3,4.25,0.2
"13",4,4,5,4,4,4,4,7,6,5,4,6,3,4,4,9,1,2,15,3,"AZ",4,NA,0.5,1,1,1,2,4,2,5,2012,NA,4.5,4,6,5,5,3.25,0.875
"14",6,3,5,2,6,6,5,7,6,7,2,6,3,6,2,9,1,2,25,4,"AZ",6,1,0.75,1,1,1,5,5,2,5,2012,NA,6.5,6,6,4.5,4,4.25,0.95
"15",6,3,6,5,7,4,5,7,5,5,2,7,2,3,1,10,1,1,NA,5,"AZ",6,0.666666666666667,0.75,0,NA,NA,4,NA,3,4,2012,1,6,5,6.5,5,5,3.66666666666667,0.472222222222222
"16",7,2,6,3,7,7,6,7,2,3,1,5,2,5,1,8,1,1,26,5,"AZ",6,1,0.75,1,1,1,5,5,4,5,2012,1,5,7,6.5,3.5,2.5,4.75,0.95
"17",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,1,2,7,2,"AZ",NA,NA,0.5,0,0,1,4,4,1,5,2012,NA,4,4,4,4,4,3.5,0.375
