"","State","Rate","Year","state","abbr","p_non_white","ue_rate","div_rate","poverty_rate","giniE","p_urban","confed","male_under25","X","Extra_rs","Agree_rs","Cons_rs","Neur_rs","Open_rs","Extra_1","Agree_1","Cons_1","Neur_1","Open_1","Extra_2","Agree_2","Cons_2","Neur_2","Open_2","age","race","gender","income","edu","ideology","spending","reg_business","govrole_big","strong_gov","less_gov_better","trad_1_r","trad_2","trad_3_r","trad_4","male","Open","Extra","Cons","Agree","Neur","traditionalism","Operational"
"1","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1,1,1,6,2,7,2,7,7,4,5,7,7,2,6,1,13,2,1,NA,1,1,0.333333333333333,0.5,0,0,0,1,1,1,2,1,6,1.5,6.5,4,3,1.25,0.166666666666667
"2","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2,2,7,7,2,6,6,1,7,4,5,6,7,1,6,2,12,2,2,3,3,NA,0.166666666666667,0.5,0,0,0,2,2,1,5,NA,5.5,4,7,7,3,2.5,0.133333333333333
"3","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3,4,6,2,3,4,4,2,6,4,4,4,4,6,5,4,8,2,2,2,3,NA,NA,0,0,1,0,5,5,2,5,NA,4,4,4,5,3.5,4.25,0.25
"4","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4,6,3,5,1,6,7,5,7,2,7,2,6,3,7,2,5,2,1,13,2,2,0.333333333333333,0.5,0,0,0,1,2,2,2,1,6.5,6.5,6,4.5,1.5,1.75,0.166666666666667
"5","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5,5,6,5,5,4,2,2,6,4,5,3,5,3,3,4,13,2,1,2,1,NA,NA,NA,0,NA,NA,3,3,3,3,1,4.5,3.5,5.5,5.5,4.5,3,0
"6","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,6,1,3,1,1,2,5,5,7,7,7,7,7,7,7,6,8,2,2,1,1,NA,NA,0,0,0,0,4,3,1,5,NA,4.5,3,4,5,4,3.25,0
"7","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,7,4,7,6,2,5,5,1,5,6,5,4,1,2,6,3,12,2,2,1,1,NA,NA,0,0,0,0,5,3,1,2,NA,5,4.5,5.5,4,4,2.75,0
"8","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,8,3,3,2,2,5,6,5,6,3,6,5,5,6,6,3,2,2,2,NA,4,4,0.5,0.5,0,0,0,2,5,2,4,NA,5.5,4.5,4,4,2.5,3.25,0.2
"9","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,466,5,5,6,2,2,3,3,3,3,6,3,3,2,6,6,10,2,1,2,3,5,0.333333333333333,0,0,0,0,2,2,2,4,1,4,4,4.5,4,2.5,2.5,0.0666666666666667
"10","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,467,2,3,4,1,2,5,5,6,4,6,6,6,4,7,6,9,2,1,3,1,5,0.333333333333333,0.5,0,0,0,1,4,1,4,1,4,3.5,5,4.5,2.5,2.5,0.166666666666667
"11","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,468,2,2,3,1,2,6,6,6,6,7,6,7,5,7,6,9,2,2,2,2,NA,0.166666666666667,0.25,0,0,0,1,4,1,5,NA,4.5,4,4.5,4.5,3.5,2.75,0.0833333333333333
